objectid,area,perimeter,permitpk,permitpk_i,code,neighborhood,number,acres,sqmiles,uniqueid,status,enforcement,grace_period,visitor_pass,monday,tuesday,wednesday,thursday,friday,saturday,sunday,other_time,hcmap,district,code_rpp,code_district,created_user,created_date,last_edited_user,last_edited_date,expiration_date,shape_area,shape_length
1699,,7568.73974059,16,20,G,ALLEGHENY WEST,0,28.662,0.042,1,Approved,,1 Hour,3 Days,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,7:00 AM - 9:00 PM,,,Allegheny West,G,G - Allegheny West,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires December 1st,9136.11224365234,551.021914988873
1700,,17434.5378142,15,9,U,SHADYSIDE,0,162.808,0.262,1,Approved,,2 Hours,3 Days,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,None,,,Shadyside,U,U - Shadyside,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires December 1st,7081324.80004883,16499.6406782604
1701,,2611.33732249,33,37,Q,NORTH OAKLAND,0,8.85,0.014,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Oakland,Q,Q - Oakland,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires December 1st,385498.968566895,2611.33757504871
1702,,0,0,0,F,EAST ALLEGHENY,0,0,0,0,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,East Allegheny-East North Side,F,F - East Allegheny-East North Side,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires February 1st,75865.2299804688,1576.01308755037
1703,,0,0,0,II, ,0,0,0,0,Approved,,,,,,,,,,,,,South Side,II,II - South Side,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires April 1st,1867863.44152832,12224.0174160326
1704,,0,0,0,HH,CENTRAL NORTHSIDE,0,0,0,0,Approved,"Mon - Sat, 7am - 7pm",1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,,HH,HH - ,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires October 1st,922508.053771973,7331.7255906409
1705,,5730.72359713,11,13,X,SHADYSIDE,0,21.314,0.033,1,Approved,,2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Shadyside,X,X - Shadyside,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires July 1st,2095047.20062256,14262.0247832498
1706,,2467.82872569,42,8,B,WEST OAKLAND,0,5.875,0.008,1,Approved,,1 Hour,3 Days,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None,,,Oakland,B,B - Oakland,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires September 1st,160613.861206055,2156.43373991735
1707,,2467.82872569,42,8,B,WEST OAKLAND,0,5.875,0.008,1,Approved,,1 Hour,3 Days,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None,,,Oakland,B,B - Oakland,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires September 1st,774177.490661621,4243.24071286091
1708,,4838.09443267,48,5,E,SOUTH OAKLAND,0,22.568,0.035,1,Approved,,1 Hour,3 Days,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,9:00 AM - 12:00 AM,None,,,Oakland,E,E - Oakland,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires July 1st,1083218.1897583,5242.39097133613
1709,,6274.88001338,50,85,M,SOUTH OAKLAND,0,19.786,0,1,Approved,,1 Hour,3 Days,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,7:00 AM - 12:00 AM,None,,,Oakland,M,M - Oakland,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires June 1st,1605498.32495117,5912.96688696012
1710,,16117.5725,52,76,T,BEECHVIEW,0,41.682,0,1,Approved,,1 & 2 Hours,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,9:00 AM - 2:00 PM,None,,,Beechview,T,T - Beechview,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires May 1st,1817103.83166504,17245.5397468486
1711,,5342.31941288,5,39,R,BLOOMFIELD,0,10.663,0.014,1,Approved,,1 Hour,3 Days,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,None,,,Bloomfield,R,R - Bloomfield,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,Permit Expires October 1st,708144.739562988,6270.61850531312
1712,,,,,T,,,,,,,,,,,,,,,,,,,,T,,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,,,
1713,,,,,T,,,,,,,,,,,,,,,,,,,,T,,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,,,
1714,,,,,MM,SQURREL HILL NORTH &  SOUTH,,,,,,,2 Hours,,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,7:00 AM - 7:00 PM,,,,,Squirrel Hill,MM,MM - Squirrell Hill,pgh.admin,2021-02-23T17:45:48,pgh.admin,2021-02-23T17:45:48,,117950.805053711,4457.3870235323
